"RegionName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"Detroit, MI",10,,,,,,0.794255085211655,0.75,0.75,0.75,0.762071081439301,0.790754257907543,0.811688311688312,0.744253214638971,0.725,0.75,0.777777777777778,0.803330263965623,0.799863852961198,0.799565217391304,0.833333333333333,0.783482142857143,0.777777777777778,0.77935663627153,0.769230769230769,0.767948717948718,0.769230769230769,0.732291666666667,0.713809523809524,0.785714285714286,0.861538461538462,0.849597135183527,0.855714285714286,0.846666666666667,0.823128342245989,0.826315789473684,0.859872611464968,0.863365800865801,0.832636566332218,0.853522013936175,0.866319444444444,0.875,0.876615067507747,0.880952380952381,0.946052631578947,0.923076923076923,0.908181818181818,0.918918918918919,0.91883445945946,0.919540229885057,0.920634920634921,0.928571428571429,0.9375,0.933333333333333,0.972301369863014,0.974285714285714,0.98319209039548,1,0.96921322690992,0.983333333333333,0.995762711864407,1,0.993640699523052,1,1.01,1,1.008,1.02397098159544,1.00526315789474,1.02777777777778,1.05,1.05478315841068,1.07692307692308,1.06666666666667
"Riverside, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21747262096066,1.22222222222222,1.09516616314199,1.16047493403694,1.15305067218201,0.995416666666667,1,1.03359173126615,1,0.992857142857143,0.985467980295567,0.977548959948301,1.05,1.17013372956909,1.14601018675722,1.14601018675722,1.25,1.22727272727273,1.19872837596458,1.20869565217391,1.25566252307537,1.25,1.27390312771503,1.33333333333333,1.36907020872865,1.37797460030414,1.39385551550972,1.4,1.4,1.36,1.37028571428571,1.46428571428571,1.50307533305605,1.49169435215947,1.46545454545455,1.5,1.54977168949772,1.55608467930712,1.51450676982592,1.60833333333333,1.57660010330527,1.49918032786885,1.51472650771388
"Phoenix, AZ",12,,,,,,,,,,,,,,,,,0.865913563329001,0.875737331982257,0.869781312127237,0.897237569060773,0.844282988404521,0.774647887323944,0.773192365054781,0.785953978906999,0.742857142857143,0.737996825048342,0.763157894736842,0.75,0.769044785002232,0.849208259509716,0.851389961389961,0.858936168616299,0.846598202824133,0.876314496122822,0.878534031413613,0.864057672502575,0.87292585155212,0.861486486486487,0.875720034937588,0.909090909090909,0.915384615384615,0.910798122065728,0.940392156862745,0.933387496871267,0.94433302632319,0.935294117647059,0.928571428571429,0.933242506811989,0.937688467199745,0.937938324501071,0.953307392996109,0.959631328048085,0.981852586225968,0.994210890004118,1.02372034956305,1.02222222222222,1.02631578947368,1.02870395587935,1.04285714285714,1.05217435139132,1.0519801980198,1.10957004160888,1.17530565167243,1.17727272727273,1.16666666666667,1.18770532194481,1.18243243243243,1.1866641973101,1.23703486145174,1.15927099841521,1.15265592218196,1.17004048582996,1.14938209290963
"Seattle, WA",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56627859753621,1.65554395731849,1.81318681318681,1.84419011882427,1.86612866474252,1.82094081942337,1.85849056603774,1.79158910399603,1.87717503808893,1.82445414847162,1.86819147884539,1.97201210287443,1.97437412788312,1.96687697160883,1.96148731587561,2.00616085453974,2.03798173621547,2.04133333333333,2.01887869588173,2,1.80925666199158,1.98125,1.99230769230769,2.08333333333333,2.17272727272727,2.14393356643357,2.227,2.21848739495798,2.11875,2.12459546925566,2.11593913583533,2.02163049208813
"Minneapolis-St Paul, MN",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09209962584926,1.10281197063806,1.07344632768362,1.04615384615385,1.03846153846154,1.10972053295002,1.12916666666667,1.15,1.125,1.11469424374941,1.16033673393953,1.165,1.18,1.1875,1.195,1.205,1.23117408906883,1.2331884057971,1.20533333333333,1.20049383623753,1.20151371807001,1.20797159006945,1.25156002319737,1.25383719099354,1.2625,1.26601671309192,1.275,1.27655848240486,1.30060732435669,1.31201044386423,1.31125,1.34220112732923,1.37096774193548,1.38467100506146,1.3963963963964,1.41650197628458,1.40707536467368,1.39263803680982,1.40080428954424,1.4224407859946,1.41437969924812,1.48684210526316,1.3963963963964
"San Diego, CA",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61142948105699,1.64770498477204,1.61666666666667,1.57843137254902,1.57200460829493,1.58823529411765,1.57894736842105,1.5625,1.73650793650794,1.76990771339747,1.70833333333333,1.70857142857143,1.81666666666667,1.94805194805195,1.94763834891223,1.9806338028169,1.966079605373,1.94334291187739,2.00092250922509,2.0565129831551,2.0211161387632,2.08079930495222,2.1063122923588,2.07455038082446,2.12863849765258,2.12916246215943,2.17710371819961,2.18243006226432,2.20994475138122,2.21621621621622,2.21111111111111,2.22462932966529,2.2062609412007,2.19712088125672,2.19160926737633,2.20299345182413,2.22941176470588,2.20470335453582,2.21666666666667,2.26844919786096,2.24661546524754,2.26672535211268,2.2047619047619
"St. Louis, MO",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833333333333333,0.895,0.895486346197247,0.881929694137638,0.869565217391304,0.905172413793103,0.878787878787879,0.855526342400647,0.843478260869565,0.873579545454545,0.872353048557868,0.893758300132802,0.9,0.923031352533722,0.919047619047619,0.916666666666667,0.924049280729241,0.933084577114428,0.933137254901961,0.952072538860104,0.977272727272727,0.960805084745763,0.965034965034965,0.96574128765505,0.988359029030671,1.00919365721997,0.996116504854369,0.982244768280679,1.00184388444991,0.985645604395604,0.992650462962963,0.973699930830661
"Tampa, FL",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970112079701121,0.933333333333333,0.899204765360426,0.882287581699346,0.914634146341463,0.945433333874696,0.961538461538462,0.966666666666667,0.987632508833922,0.990009074410163,0.99,0.990343622597554,1.00694444444444,1.04166666666667,1.0608020698577,1.05786427089072,1.06054994388328,1.0732421875,1.06174846026004,1.05902080493791,1.06923076923077,1.06969267355712,1.0798773006135,1.08485818958197,1.11632865222984,1.13122171945701,1.12669126691267,1.10700280112045,1.12210338680927,1.12341346153846,1.11599745060548,1.2123442592114,1.20864197530864,1.20645833333333,1.19357983406322,1.1966407540178,1.20760534429599,1.21428571428571,1.23567567567568,1.23342175066313,1.20940170940171,1.28571428571429,1.18490566037736
"Baltimore, MD",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48430962343096,1.49329737071396,1.47333333333333,1.36414800932279,1.38531083696178,1.34267100977199,1.34299595771144,1.39970094771942,1.4085162029801,1.415625,1.40449438202247,1.42823702514714,1.46378269617706,1.47645429362881,1.48677685950413,1.50105543877355,1.55737704918033,1.43989983305509,1.41286113699907,1.41,1.39802631578947,1.37424157699725,1.40021459227468,1.42250530785563,1.42626653105856,1.43609246041792,1.44274809160305,1.43970588235294,1.44484731335976,1.4373576309795,1.42453854505972,1.41771159874608,1.43188145549709,1.43006188526258,1.44644840721535,1.48921832884097,1.5,1.46511627906977,1.47194112235511,1.4616935483871,1.43349514563107,1.39934533551555,1.42934196332255
"Denver, CO",19,,,,,,,,,,,,,,,0.910822021116139,1.04166666666667,1.13371255760369,1.20869565217391,1.14401858304297,1.19027303754266,1.18518518518519,0.99375,0.926666666666667,0.953166553977913,0.947712418300654,0.99375,1.08016304347826,1.08571428571429,1.08823529411765,1.18181818181818,1.19974059662776,1.22395833333333,1.20300751879699,1.23275862068966,1.25396556058321,1.2603317535545,1.2604347826087,1.28264925373134,1.28006938421509,1.28426395939086,1.30434782608696,1.3208644278607,1.35945945945946,1.40679953106682,1.41839370820677,1.44816742455963,1.49350649350649,1.49487745125746,1.51878675487837,1.53664700926706,1.54942965779468,1.53014144746037,1.60229466479466,1.57840808532439,1.60714285714286,1.63551401869159,1.6566265060241,1.66403489591357,1.66423429822013,1.66969147005445,1.64367712399719,1.67866851338874,1.66666666666667,1.64994407158837,1.66898470097357,1.66467661691542,1.65674102005515,1.68619791666667,1.70833333333333,1.70059880239521,1.75257731958763,1.67896829720013,1.62744199488069
