"RegionName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"Phoenix, AZ",10,,,,,,,,,,,,,,,,1.16839586122357,1.20743987250072,1.16981132075472,1.17669683257919,1.2375,1.2320987654321,1.17808417997097,1.15853658536585,1.14564831261101,1.15163147792706,1.18453865336658,1.1981981981982,1.2,1.15128205128205,1.18705628803245,1.16632860040568,1.16666666666667,1.16666666666667,1.16666666666667,1.16666666666667,1.16666666666667,1.16666666666667,1.16252821670429,1.16666666666667,1.16666666666667,1.17586956521739,1.20790998217469,1.2496062992126,1.17959937767406,1.22727272727273,1.23263850709225,1.24239406779661,1.3125,1.26485576923077,1.36363636363636,1.29490940465919,1.32107843137255,1.33278338509317,1.34536048932847,1.3465,1.375,1.36981441048035,1.41066395277441,1.51356993736952,1.50455602263921,1.55753537263721,1.59189303904924,1.55882352941176,1.56666666666667,1.52880434782609,1.4825327510917,1.52354570637119,1.49217776881107,1.5079006772009,1.56772965596495
"Seattle, WA",11,,,,,,,,,,,,,1.80484114977307,1.91650485436893,1.9875,1.96503495248758,2.05168269230769,2.07069840031213,2.06521739130435,2.14625490978219,2.14438502673797,2.19485815602837,2.21556390977444,2.10896727004637,2.06119162640902,2.0875,2.182,2.10912698412698,2.2240952876855,2.252,2.26666666666667,2.28270915374106,2.44164078674948,2.37430167597765,2.31239092495637,2.41915770609319,2.3818029739777,2.40213523131673,2.40556660039761,2.47619047619048,2.61111111111111,2.59315889029004,2.64139196193782,2.65716670348823,2.68546637744035,2.62664165103189,2.62014134275618,2.59825634057971,2.59434796027159,2.62757687324413,2.68562401263823,2.75735294117647,2.75235849056604,2.81456953642384,2.83829002350483,2.8486646884273,2.8148893360161,2.81199806262523,2.83910112359551,2.84648432265845,2.85714285714286,2.94490808658423,2.99901960784314,2.98319327731092,3.04479738286197,3.04065354330709,2.97764227642276,3.07458212554873,3.03435114503817,2.89282981165767
"Minneapolis-St Paul, MN",12,,,,,,,,,,,,,,,,,,,,,,,,,1.63552960399846,1.6990780141844,1.67480158730159,1.644375,1.75925925925926,1.69852422907489,1.6,1.6725,1.68907301668315,1.64102564102564,1.56066176470588,1.62727272727273,1.69934232434232,1.87886904761905,1.87382297551789,1.92247596153846,1.85288640595903,1.85361216730038,1.85288640595903,1.88403361344538,1.86440677966102,1.77538186950025,1.69375,1.7,1.68867924528302,1.755,1.84637439090951,1.85288640595903,1.83911764705882,1.90082644628099,1.86538461538462,1.86605949197861,1.86580882352941,1.90140845070423,1.94312796208531,1.96687370600414,1.95833333333333,1.96207764198418,1.96875,1.97845804988662,1.98010849909584,1.81278443961854,1.95665155503559,2,2.02279623112207,2.02102803738318
"San Diego, CA",13,,,,,,,,,2.32692307692308,2.20935458740337,2.12764675052411,1.9875,1.90246516613076,2.01834862385321,2.12686503416856,2.08388157894737,2.15909090909091,2.14539295392954,2.15909090909091,2.15909090909091,2.04673913043478,2.06666666666667,2.1281045751634,2.16173120728929,2.16173120728929,2.12044534412955,2.17954545454545,2.08601286173633,2.00794630010014,1.99844320712695,2.09167969513387,2.16426459719143,2.07428940568475,2.17468126385809,2.18199784405318,2.42307692307692,2.44736842105263,2.38549618320611,2.43664717348928,2.6,2.61707988980716,2.396,2.52420180650147,2.61976549413735,2.66485753052917,2.67640170822427,2.7275204359673,2.72734266163727,2.80533988592427,2.77993527508091,3.00389105058366,2.92275878003697,2.97597042513863,2.92142857142857,2.94949494949495,3.09548872180451,3.16308716955667,3.11744212657336,2.98517316017316,2.94558080808081,2.93831168831169,2.90608465608466,2.92678008463745,2.97701149425287,2.97979797979798,3.09429824561404,3.12857142857143,3.07142857142857,3.14526588845655,2.99514563106796
"St. Louis, MO",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32299124900557,1.325,1.34862385321101,1.36181818181818,1.33422330097087,1.31578947368421,1.35726795096322,1.39272727272727,1.37166200713391,1.33333333333333,1.32222222222222,1.38055528776632,1.36419203608094,1.36419203608094,1.33860342555995,1.44444444444444,1.49870801033592,1.49336283185841,1.45804195804196,1.44444444444444,1.47058823529412,1.44444444444444,1.41291318022669
"Tampa, FL",15,,,,,,,,,,0.983751548946716,1.11607142857143,1.11677631578947,1.13636363636364,1.13111111111111,1.08712121212121,1.08181818181818,1.10530303030303,1.2,1.20444444444444,1.16203703703704,1.21111111111111,1.13636363636364,1.15648148148148,1.17777777777778,1.2,1.2,1.25567010309278,1.31666666666667,1.25,1.29444444444444,1.23333333333333,1.23333333333333,1.16666666666667,1.20559210526316,1.23517786561265,1.32,1.32777777777778,1.32222222222222,1.32777777777778,1.32777777777778,1.36666666666667,1.54347222222222,1.52125,1.44888888888889,1.5625,1.53014239281845,1.5625,1.65,1.67276785714286,1.5655737704918,1.58318800139519,1.55555555555556,1.55555555555556,1.5,1.52666666666667,1.52803921568627,1.49263888888889,1.625,1.625,1.76222222222222,1.8,1.84126984126984,1.83276252019386,1.84572362278245,1.85714285714286,2.00086956521739,2.16666666666667,1.82943059299191,1.72986111111111,1.95527670527671
"Baltimore, MD",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48965524614076,2.26765384135954,2.22811671087533,2.28658536585366,2.32352941176471,2.0752427184466,2.12592592592593,2.10091743119266,2.06155339805825,2.11851979345955,2.16533864541833,2.05097087378641,2.03170028818444,2.09,2.00231481481481,2.12,2.11289508939647,2.16949838187702,2.25508916714096,2.26941747572816,2.22087378640777,2.1,2.239204384924,2.09490740740741,2.15376355631912,2.10227272727273,2.23198288373955
"Denver, CO",17,,,,,,,,,,,,,1.68181818181818,1.5,1.45040479377829,1.52801358234295,1.66903409090909,1.71030960238881,1.73111471861472,1.62859172509029,1.59574468085106,1.61045531197302,1.61176470588235,1.58173758865248,1.58602733781731,1.67638483965015,1.68303571428571,1.67060146149522,1.5,1.53465346534653,1.61772765598651,1.59826732673267,1.64705882352941,1.66768033946252,1.68944732937685,1.85714285714286,1.99616122840691,2.02783300198807,2,1.93303571428571,1.79540909090909,1.93760245901639,1.92049469964664,2,2.03606557377049,2.01344392559014,2.01321003963012,2.00764818355641,2.08114754098361,2.090963077959,2.07446808510638,2.09603658536585,2.16106309992773,2.2537037037037,2.25,2.22368446072714,2.32533617698091,2.30113636363636,2.25725338491296,2.25952813067151,2.23083941605839,2.29553903345725,2.22972972972973,2.22316865417376,2.375,2.37329925509273,2.35714285714286,2.47090909090909,2.31983805668016,2.24458204334365
"Portland, OR",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59550561797753,2.4245939675174,2.2375,2.25,2.26398601398601,2.27272727272727,2.37349397590361,2.33202143815638,2.42857142857143,2.46236559139785,2.47768595041322,2.53083786895541,2.50247933884298,2.48513011152416,2.40706319702602,2.44186046511628,2.47058823529412,2.46995440290501,2.40963855421687,2.47714232488823,2.47955390334573,2.51258992805755,2.49056603773585,2.625,2.42454361054767
"Charlotte, NC",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6921768707483,1.71848013816926,1.78709287443852,1.76542470295986,1.80788177339901,1.83771362523048,1.87817258883249,1.89762611275964,1.89387823328857,1.89412555637982,1.91029900332226,1.89261824131502,1.9658535161653,1.93861511752137,1.92953020134228,1.88644688644689,1.98165137614679,1.93157228725087,2,1.93548387096774,1.99664429530201,1.95321263007748,1.9315141501892,1.9315141501892
"San Antonio, TX",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67209302325581,1.6953488372093,1.62558139534884,1.49190476190476,1.40848225432495,1.41252006420546,1.40149812734082,1.49375,1.43776709401709,1.5183752417795,1.46464741775178,1.41259276437848,1.39645768689653,1.48267326732673,1.50604603729604,1.50568181818182,1.57142857142857,1.51242037951044,1.27777777777778,1.48393574297189,1.34991974317817,1.45227272727273
"Orlando, FL",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82503556187767,1.70607267568747,1.72520190895742,1.8291844476055,1.79095153401512,1.79230769230769,1.82207977207977,1.81739130434783,1.94099378881988,1.7667174796748,1.72068965517241,1.72068965517241,1.8,1.87541284673249,1.95094936708861,1.85797638997983,1.87898918181036,1.88775919732441,1.89969604863222,1.90205371248025,1.90161527165932,1.92051282051282,2.0049786628734,1.92051282051282,1.98862019914651
"Kansas City, MO",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08687258687259,1.08333333333333,1.07552083333333,1.08506944444444,1.12756264236902,1.11111111111111,1.20554564377044,1.17277397260274,1.00045849420849,0.974576271186441,0.974576271186441,1.09215017064846,1.13042857142857,1.118,1.16348344138777,1.116,1.20056497175141,1.35555555555556,1.1784287345075,1.20056497175141,1.35555555555556,1.35555555555556,1.21428571428571,1.30694980694981,1.24714611872146,1.39550561797753,1.41184510250569,1.38888888888889,1.26567258883249,1.21139359698682,1.36871722027972,1.4002234324815,1.32989499167967,1.5121359223301
"Indianapolis, IN",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33333333333333,1.34136546184739,1.27555555555556,1.27,1.34939759036145,1.34939759036145,1.36416666666667,1.36416666666667,1.37,1.32,1.35333333333333,1.37555555555556,1.37555555555556
"San Jose, CA",24,,,,,,,,,,2.7,2.69166666666667,2.57142857142857,2.75128865979381,2.78461538461538,2.84835164835165,2.84510869565217,2.89706825202541,2.99666666666667,2.99666666666667,2.85870243293824,3.11833559698728,3.23671536796537,2.9875,2.9875,3.02222222222222,2.99666666666667,3.1,2.90052356020942,2.86092715231788,2.83896783844428,3.15604395604396,3.28958988380041,3.42410015649452,3.17357512953368,3.17357512953368,3.23461328976035,3.2089552238806,3.21691176470588,3.29067641681901,3.35492227979275,3.47046843177189,3.42118967988533,3.67664674357905,3.73637218045113,3.73134328358209,3.68045112781955,3.69334702907712,3.68188512518409,3.73134328358209,3.86535324159455,3.94548872180451,3.92857142857143,3.99,4.1453488372093,4.14615414833438,4.19,4.11167512690355,4.14141414141414,4.22222222222222,4.25510204081633,4.23037716615698,4.18872017353579,4.18426966292135,4.15869851828311,4.13294752421748,4.0997830802603,4.26966292134831,4.12833333333333,4.07939189189189,4.02255639097744
"Austin, TX",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81067655935614,1.77917525773196,1.85185185185185,1.86648629148629,1.85185185185185,1.72749391727494,1.77,1.7375,1.78571428571429,1.87058823529412,1.953125,2.0625,2.05382336343115,1.95588235294118,1.88961038961039,1.93603307254623,2.16666666666667,1.91634980988593,1.96296296296296,2.00023680544807,1.9625,2.01593137254902,2,2,2,1.91634980988593,2.1225,2,2.18068535825545,2.20268006700167,2.23309270516717,2.27909667106038,2.31884057971015,2.3125,2.31886910875271,2.3125,2.29468599033816,2.16049382716049,2.11111111111111,2.11948790896159
"Raleigh, NC",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94940978077572,2,1.86978193146417,1.79927667269439,1.88014311270125,1.80490149424193,1.87583624406054,1.96190476190476,1.88971962616822,1.85544451608281,1.87583624406054,1.90925150447877
"Stamford, CT",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19298245614035,2.1,2.125,2.28531855955679,2.43589743589744,2.37987588652482,2.42382271468144,2.47340425531915,2.3125,2.275,2.37479548573238,2.27272727272727,2.3125,2.28636363636364,2.34042553191489,2.09347826086957,2.18333333333333,2.31666666666667,2.54081632653061,2.45567375886525,2.55141843971631,2.47695035460993,2.5,2.5,2.5,2.71537309452001,2.72929075921589,2.71537309452001,2.77583187390543,2.77583187390543,2.77583187390543,2.77583187390543,2.66199649737303,2.54901960784314,2.80030441400304,2.69404761904762,2.5462962962963
"Albuquerque, NM",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33488977675142,1.27631578947368,1.27631578947368,1.27631578947368,1.27631578947368,1.36093429584059,1.33053221288515,1.38754888734448,1.31403118040089,1.29517348493729,1.35574837310195,1.33898529766209,1.37056010928962,1.35876509844363,1.35140997830803,1.3004217791411,1.39376391982183,1.38752783964365,1.39825269787669,1.37682402911144,1.34097109559659,1.36612021857923,1.38126391982183,1.33053221288515,1.26486748545572,1.27906976744186,1.3125,1.27118644067797
