"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-11-30,"Billings, MT","MT",225,1053,-0.0121951219512195,-0.0357142857142857,-0.023191094619666,7685
2016-11-30,"Bowling Green, KY","KY",226,1060,0.0251450676982592,0.06,0.116965226554268,820
2016-11-30,"Bend, OR","OR",227,1244,0.0089213300892133,0.00565885206143896,-0.00240577385725742,6392
2016-11-30,"Albany, GA","GA",228,673,0.00597907324364723,0.00597907324364723,-0.0344332855093257,1609
2016-11-30,"Vineland, NJ","NJ",229,1132,0,-0.0026431718061674,0.0481481481481481,253
2016-11-30,"Decatur, AL","AL",230,725,0.0240112994350282,0.0254596888260255,-0.109336609336609,331
2016-11-30,"Hanford, CA","CA",231,949,-0.00105263157894737,-0.0306435137895812,-0.0414141414141414,1135
2016-11-30,"Iowa City, IA","IA",232,1185,0.000844594594594595,-0.0246913580246914,-0.0310711365494685,8683
2016-11-30,"Monroe, MI","MI",233,1047,0.00769971126082772,0.0224609375,0.0386904761904762,3483
2016-11-30,"Wichita Falls, TX","TX",234,581,-0.00513698630136986,-0.0119047619047619,-0.0284280936454849,803
2016-11-30,"Burlington, NC","NC",235,800,0.00376411543287327,0.0050251256281407,0,3427
2016-11-30,"Madera, CA","CA",236,1103,0.0100732600732601,0.0308411214953271,0.0184672206832872,1985
2016-11-30,"Jefferson City, MO","MO",237,847,0.0143712574850299,0.0495662949194548,0.266068759342302,1483
2016-11-30,"Chambersburg, PA","PA",238,845,0.00835322195704057,0.0217654171704958,0.0736975857687421,922
2016-11-30,"Elizabethtown, KY","KY",239,787,0.00768245838668374,-0.00126903553299492,0.0115681233933162,734
2016-11-30,"Wheeling, OH","OH",240,838,-0.0289687137891078,-0.0841530054644809,-0.0841530054644809,2884
2016-11-30,"Florence, AL","AL",241,853,-0.0229095074455899,-0.0738327904451683,-0.0798274002157497,527
2016-11-30,"Grand Junction, CO","CO",242,938,0.00643776824034335,0.0129589632829374,0.0184581976112921,4866
2016-11-30,"Concord, NH","NH",243,1345,0.00673652694610778,0.0120391271632807,0,12057
2016-11-30,"Dothan, AL","AL",244,789,0.0102432778489117,0.0206985769728331,-0.0319018404907975,397
2016-11-30,"Santa Fe, NM","NM",245,1574,0.00127226463104326,0.018111254851229,0.0620782726045884,7065
2016-11-30,"Traverse City, MI","MI",246,1260,0.0252237591537836,0.0177705977382876,0.0824742268041237,8011
2016-11-30,"Hattiesburg, MS","MS",247,710,0.00141043723554302,0.00852272727272727,0.0142857142857143,838
2016-11-30,"Dalton, GA","GA",248,1071,0,-0.015625,0.0408163265306122,930
2016-11-30,"Greensboro, NC","NC",249,880,0.00113765642775882,-0.00113507377979569,0.0185185185185185,25597
2016-11-30,"Homosassa Springs, FL","FL",250,1006,0.00199203187250996,0.00902708124373119,0.193357058125741,5336
2016-11-30,"Auburn, AL","AL",251,1028,-0.0134357005758157,0.00194931773879142,0.148603351955307,2918
2016-11-30,"Valdosta, GA","GA",252,686,0,0.00439238653001464,0.0254110612855007,747
2016-11-30,"Coeur d'Alene, ID","ID",253,1136,0.00798580301685892,0.0299184043517679,0.0944123314065511,3495
2016-11-30,"Springfield, OH","OH",254,648,0.00777604976671851,-0.00460829493087558,0.0553745928338762,5457
2016-11-30,"St. George, UT","UT",255,1223,0.0107438016528926,0.0338123415046492,0.11689497716895,17677
2016-11-30,"Vero Beach, FL","FL",256,1432,0.0148830616583983,0.0475493782004389,0.108359133126935,14272
2016-11-30,"Napa, CA","CA",257,2413,-0.000414250207125104,-0.0057684384013185,0.0830341113105925,4068
2016-11-30,"Battle Creek, MI","MI",258,734,-0.00271739130434783,-0.0213333333333333,-0.026525198938992,281
2016-11-30,"Rapid City, SD","SD",259,1061,0.000943396226415094,0.00283553875236295,-0.045863309352518,657
2016-11-30,"Lumberton, NC","NC",260,818,-0.0108827085852479,-0.0238663484486874,-0.0285035629453682,144
2016-11-30,"Wausau, WI","WI",261,920,-0.00968783638320775,-0.0233545647558386,0.0199556541019956,1190
2016-11-30,"Lebanon, PA","PA",262,946,-0.00210970464135021,-0.0366598778004073,0.012847965738758,1283
2016-11-30,"Idaho Falls, ID","ID",263,682,-0.0101596516690856,-0.0243204577968526,0.017910447761194,2705
2016-11-30,"Sierra Vista, AZ","AZ",264,752,-0.0026525198938992,0.00133155792276964,-0.0334190231362468,1596
2016-11-30,"Lawton, OK","OK",265,586,-0.00340136054421769,0,-0.0217028380634391,645
2016-11-30,"Farmington, NM","NM",266,855,0.00117096018735363,0.00588235294117647,0.0190703218116806,874
2016-11-30,"Jackson, TN","TN",267,831,0.00727272727272727,0,0.121457489878543,1503
2016-11-30,"Morgantown, WV","WV",268,1077,0.0237642585551331,0.0150801131008483,-0.0841836734693878,3199
2016-11-30,"Winchester, VA","VA",269,939,-0.0105374077976818,-0.0319587628865979,-0.0398773006134969,430
2016-11-30,"St. Joseph, MO","MO",270,686,0.0162962962962963,-0.0227920227920228,-0.157248157248157,2072
2016-11-30,"New Bern, NC","NC",271,846,0,0,-0.0185614849187935,1269
2016-11-30,"Logan, UT","UT",272,724,-0.00275482093663912,-0.00685871056241427,-0.0255720053835801,636
2016-11-30,"Harrisonburg, VA","VA",273,998,0.00503524672708963,0.0131979695431472,0.0142276422764228,2649
2016-11-30,"Beckley, WV","WV",274,922,-0.00216450216450216,-0.052415210688592,-0.142325581395349,880
2016-11-30,"Mansfield, OH","OH",275,719,-0.0123626373626374,-0.0501981505944518,0.0861027190332326,3830
2016-11-30,"Weirton, OH","OH",276,680,-0.00439238653001464,-0.0229885057471264,0.0119047619047619,1691
2016-11-30,"Goldsboro, NC","NC",277,916,0.00992282249173098,0.0223214285714286,-0.0775427995971803,495
2016-11-30,"Augusta, ME","ME",278,1073,0.00845864661654135,0.069790628115653,0.110766045548654,17913
2016-11-30,"Hammond, LA","LA",279,803,-0.00495662949194548,-0.0254854368932039,-0.0519480519480519,425
2016-11-30,"Jonesboro, AR","AR",280,669,-0.00446428571428571,0.0245022970903522,0.00601503759398496,601
2016-11-30,"Sherman, TX","TX",281,929,0.00541125541125541,-0.0010752688172043,0.0580865603644647,2202
2016-11-30,"Anniston, AL","AL",282,601,0.0100840336134454,0.00838926174496644,-0.0866261398176292,1046
2016-11-30,"Staunton, VA","VA",283,1043,0.00578592092574735,-0.000957854406130268,0.00384985563041386,584
2016-11-30,"Mount Vernon, WA","WA",284,1375,0.0261194029850746,0.0299625468164794,-0.0275813295615276,4936
2016-11-30,"Albany, OR","OR",285,1001,-0.00792864222001982,-0.0309777347531462,0.131073446327684,2286
2016-11-30,"Watertown, NY","NY",286,928,-0.0106609808102345,0.00324324324324324,-0.017989417989418,2794
2016-11-30,"Williamsport, PA","PA",287,868,-0.0091324200913242,0.0470446320868516,0.0407673860911271,2652
2016-11-30,"Cleveland, TN","TN",288,852,0.0314769975786925,0.0390243902439024,0.0265060240963855,2371
2016-11-30,"Sheboygan, WI","WI",289,1097,0.00919963201471941,0.0166821130676552,0.112576064908722,3401
2016-11-30,"Bismarck, ND","ND",290,1119,-0.00444839857651246,-0.00709849157054126,-0.0865306122448979,4395
2016-11-30,"Owensboro, KY","KY",291,887,0.00566893424036281,0.010250569476082,0.0459905660377359,678
2016-11-30,"Wooster, OH","OH",292,876,-0.00454545454545455,-0.00567536889897843,0.0305882352941176,2868
2016-11-30,"Morristown, TN","TN",293,928,0.00432900432900433,0.0164293537787514,0.0728323699421965,1650
2016-11-30,"Kankakee, IL","IL",294,862,0.0249702734839477,0.0668316831683168,-0.00919540229885057,295
2016-11-30,"San Angelo, TX","TX",295,1083,-0.00276243093922652,-0.00642201834862385,-0.0483304042179262,218
2016-11-30,"Michigan City, IN","IN",296,961,-0.00103950103950104,0.0212539851222104,0.112268518518519,4619
2016-11-30,"Wenatchee, WA","WA",297,1284,0.0015600624024961,-0.0331325301204819,-0.0145817344589409,5280
2016-11-30,"Lawrence, KS","KS",298,856,0.00351699882766706,0.0202622169249106,0.0388349514563107,1305
2016-11-30,"Decatur, IL","IL",299,1044,0.00772200772200772,-0.00191204588910134,0.0336633663366337,950
2016-11-30,"Missoula, MT","MT",300,1006,-0.0069101678183613,-0.0127576054955839,0.0371134020618557,5293
2016-11-30,"Salem, OH","OH",301,758,-0.005249343832021,-0.00785340314136126,0.0229419703103914,2018
2016-11-30,"Lewiston, ME","ME",302,1094,0.0139017608897127,0.0311027332704995,0.0036697247706422,8165
2016-11-30,"Roseburg, OR","OR",303,700,0.00864553314121038,0.00574712643678161,0.0279001468428781,912
2016-11-30,"Show Low, AZ","AZ",304,1142,0.0187332738626227,-0.0121107266435986,0.0583873957367933,2148
2016-11-30,"Danville, VA","VA",305,956,0.00737618545837724,0.00209643605870021,-0.043043043043043,1196
2016-11-30,"Lima, OH","OH",306,763,-0.00651041666666667,-0.00909090909090909,0.0716292134831461,2636
2016-11-30,"Cookeville, TN","TN",307,668,-0.0262390670553936,-0.0960757780784844,-0.175308641975309,1565
2016-11-30,"California-Lexington Park, MD","MD",308,1253,-0.00159362549800797,-0.00948616600790514,-0.0256609642301711,3489
2016-11-30,"Gadsden, AL","AL",309,695,0.00870827285921625,0.0235640648011782,0.154485049833887,178
