"RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"Missouri",11,,,,,,,,,,,,,,,,,1.10024449877751,1.10565110565111,1.12,1.12,1.12666666666667,1.15007012622721,1.11666666666667,1.10565110565111,1.09756097560976,1.08685968819599,1.08377192982456,1.0678391959799,1.08685968819599,1.09,1.11,1.15176151761518,1.13333333333333,1.08225108225108,0.917431192660551,1.06168305151396,1.1,1.09649122807018,1.08687258687259,1.15789473684211,1.15789473684211,1.17556014150943,1.27777777777778,1.27777777777778,1.27777777777778,1.27777777777778,1.1752045281583,1.12574061882818,1.03434684684685,1.13157894736842,1.17312072892939,1.15384615384615,1.17312072892939,1.15384615384615,1.18377192982456,1.25,1.23688155922039,1.20056497175141,1.32033441208198,1.30734632683658,1.22014925373134,1.20028248587571,1.31397849462366,1.27559523809524,1.35415730337079,1.36666666666667,1.33070500927644,1.3125,1.3760593220339,1.31395348837209,1.43333333333333,1.42247191011236
"Maryland",12,,,,,,,,,,,,,,,,,,,,,,,,,2.27204579528418,2.30684326710817,2.34250381828899,2.5,2.36255572065379,2.47978910369069,2.46815051647811,2.40031152647975,2.1652719665272,2.4125,2.06912323582342,2.17333333333333,2.3051282051282,2.52134485463721,2.58364312267658,2.60935241131334,2.6,2.6,2.55632833442005,2.5637804107425,2.5561797752809,2.48998664886515,2.44718309859155,2.45134228187919,2.46506550218341,2.50170648464164,2.36255572065379,2.45454545454545,2.44255319148936,2.36009732360097,2.4,2.39761092150171,2.38731679754615,2.42151675485009,2.39481268011527,2.29411764705882,2.33955289951306,2.32467576791809,2.42741935483871,2.44496026437957,2.48005430242272,2.52099102270727,2.46527777777778,2.55037794985251,2.53091253254059,2.53522370810632,2.43636363636364,2.37676056338028
"Minnesota",13,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.62158046121383,1.66165158371041,1.59848484848485,1.68832833583208,1.66176470588235,1.53482278481013,1.66176470588235,1.66527777777778,1.59030405405405,1.51515151515152,1.6025641025641,1.66828478964401,1.84071729957806,1.85714285714286,1.87382297551789,1.806640625,1.82968369829684,1.8125,1.87382297551789,1.84852941176471,1.75949367088608,1.6304347826087,1.7,1.67525773195876,1.68665667166417,1.8,1.83484798413748,1.8187998124707,1.86991869918699,1.84931506849315,1.84542655428731,1.85146361789677,1.88541666666667,1.94005867706383,1.9447966889021,1.94791666666667,1.93333333333333,1.94444444444444,1.95665155503559,1.95152243589744,1.76560235314179,1.88927738927739,1.96474526421702,2.0140873015873,2
"Colorado",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00764818355641,2.08400693996486,2.08055555555556,2.03928140096618,2.1319018404908,2.0732538330494,2.1346888290947,2.15613382899628,2.18978102189781,2.23529411764706,2.22316865417376,2.22316865417376,2.33487394957983,2.36888111888112,2.34117647058824,2.42811501597444,2.31460674157303,2.21943048576214
"Alabama",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.935416666666667,0.835030549898167,0.833333333333333,0.804887585532747,0.764546289339678,0.764546289339678,0.830645161290323,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.856,0.981526946107784,0.910224438902743,0.898025605278143,0.855555555555556,0.855555555555556,0.828333333333333,0.80625,0.815625,0.777777777777778,0.8,0.831666666666667,0.8,0.8125,0.833333333333333,0.849462365591398,0.882352941176471,0.921619047619048,0.882352941176471,0.882352941176471,1,0.984848484848485,0.872916666666667,0.925925925925926,0.916571428571429,0.944444444444444,0.937908496732026,0.937908496732026,0.863461538461539,0.973417111506524,0.983796296296296
"Oregon",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3921200750469,2.26146987802613,2.1537028052223,2.13073155826898,2.13073155826898,2.22727272727273,2.24708171206226,2.2005415737496,2.43585526315789,2.44339622641509,2.43133316595531,2.46349206349206,2.40487364620939,2.41563845050215,2.36420151040707,2.38679462867101,2.38382099827883,2.39918782159238,2.37335834896811,2.42690058479532,2.42673992673993,2.45579567779961,2.40976627357486,2.60479716785231,2.41007194244604
"Oklahoma",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.06609808102345,1.06609808102345,1.15740740740741,1.2,1.21187800963082,1.1724537037037,1.15740740740741,1.26805778491172,1.30818619582665,1.29166666666667,1.28250401284109,1.32952380952381,1.33904761904762,1.38309256286784,1.31238095238095,1.24879614767255,1.26966292134831,1.21187800963082,1.36115569823435
"New Mexico",18,,,,,,,,,,,,,,,,,,,,,,,,,,1.16459744168548,1.16252821670429,1.15384615384615,1.11125,1.12375,1.1541755888651,1.0125,1.18673285835214,1.16488222698073,1.06923076923077,1.03661499790532,1.16472442735467,1.1627988805344,1.13126410835214,1.1627988805344,1.16472442735467,1.16306954436451,1.16252821670429,1.10769230769231,1.28101503759399,1.27118644067797,1.25766871165644,1.25766871165644,1.25766871165644,1.27118644067797,1.25766871165644,1.3136288998358,1.27402745995423,1.27118644067797,1.2644275761672,1.27118644067797,1.32692307692308,1.3004217791411,1.28232967387795,1.27631578947368,1.31850165562914,1.27631578947368,1.2625,1.26647601846277,1.26363636363636,1.24637753406447,1.27375111507583,1.27631578947368,1.23700623700624,1.27118644067797,1.28346491843424,1.23653846153846
"Nebraska",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17943548387097,1.03550295857988,1.08172082776611,0.997481343283582,0.96696212731668,1.00746268656716,1.04562737642586,1.05852797392721,1.05852797392721,1.07812059735137,1.03587338970547,1.11929307805596,1.16666666666667,1.12280443376482,1.12280443376482,1.12631578947368,1.21495327102804,1.20967741935484,1.23846153846154,1.23305122297058,1.20104549486757,1.19439868204283,1.19439868204283,1.21857789142408,1.16758241758242,1.17624223602484,1.23129016351721,1.22741935483871
"District of Columbia",20,,,,,,,,,,,,,3.80952380952381,3.62549800796813,3.6475,3.52615422286856,3.49462365591398,3.52260149314712,3.50888888888889,3.50888888888889,3.50888888888889,3.52150537634409,3.5503096697893,3.502,3.51540616246499,3.61384677663579,3.67614879649891,3.6,3.64173228346457,3.6975,3.41495327102804,3.30065359477124,3.31291747468218,3.55731225296443,3.5,3.43625,3.4,3.38715277777778,3.3531746031746,3.2849911971831,3.3125,3.36,3.3125,3.3125,3.3125,3.34151308211288,3.37453173010818,3.25,3.36099692228225,3.46555323590814,3.48099283089343,3.42105263157895,3.4375,3.3923008868889,3.41940077466393,3.44827586206897,3.49333333333333,3.52863050058676,3.50205761316872,3.49514563106796,3.52290440145781,3.53285656207266,3.59281437125748,3.57492757847138,3.60440499333022,3.625,3.64390432098765,3.62886597938144,3.62756849315068,3.59297792425117,3.46556886227545,3.43869731800766
