"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"New Hampshire","State","New Hampshire","All Homes",12937,13063,13283,13075,12308,11566,11253,11402,11670,11853,12117,12297,12424,12596,12643,12535,12514,13063,13982,14364,14100,13857,13771,13654,13547,13472,13288,12969,12688,12382,11930,11595,11566,11641,11679,11700,11856,12095,12120,12106,12169,11970,11621,11427,11333,11217,11126,11129,10858,10339,10201,10501,10888,11096,11163,11242,11306,11248,11067,10938,10938,10923,10933,11185,11573,11850,11835,11549,11295,11101,10836,10486,10098,9779,9492,9157,8795,8449,8121,7840,7627,7477
"Rhode Island","State","Rhode Island","All Homes",5997,6331,6840,6886,6674,6632,6598,6487,6484,6677,6909,7059,7108,7142,7347,7631,7757,7896,8128,8168,8100,8088,8045,7957,7872,7759,7503,7202,7055,6900,6617,6441,6396,6316,6202,6157,6211,6222,6105,6004,5938,5766,5616,5636,5697,5712,5701,5675,5662,5658,5642,5685,5793,5898,5989,6042,6057,6056,5973,5834,5724,5506,5341,5480,5607,5607,5617,5595,5417,5145,5061,5176,5265,5222,5053,4842,4737,4745,4761,4777,4806,4829
"Montana","State","Montana","All Homes",5782,5780,5828,5777,5627,5537,5458,5367,5367,5547,6007,6667,7166,7482,7754,7906,8156,8674,9272,9696,9841,9921,10019,9886,9554,9260,8925,8580,8452,8454,8389,8273,8153,7968,7506,7028,7191,7701,8143,8559,8404,7685,7230,7148,7172,7201,7264,7292,7098,6831,6765,6932,7161,7393,7572,7657,7709,7644,7450,7299,7194,7061,6855,6725,6883,7009,6944,6898,6893,6962,7199,7416,7396,7352,7409,7351,7317,7513,7607,7542,7550,7578
"Delaware","State","Delaware","All Homes",6785,6815,6967,7071,6990,6934,7209,7812,8232,8284,8341,8468,8513,8707,9064,9225,9253,9463,9697,9516,9108,8984,9131,9233,9125,8843,8541,8386,8327,8137,7759,7439,7363,7358,7213,7028,7097,7369,7560,7614,7534,7317,7072,6907,6790,6725,6731,6747,6735,6669,6721,7012,7265,7383,7450,7378,7244,7170,7056,6932,6873,6762,6365,5883,5802,5950,6100,6481,7017,7222,7123,7057,7006,6932,6939,7002,7024,7054,7053,6904,6706,6625
"South Dakota","State","South Dakota","All Homes",3428,3528,3661,3670,3565,3516,3527,3533,3556,3616,3706,3880,3970,3876,3924,4025,4042,4206,4486,4609,4535,4387,4208,4078,4042,4020,3931,3824,3776,3751,3707,3670,3619,3539,3520,3510,3471,3504,3524,3495,3515,3566,3610,3638,3589,3471,3399,3362,3315,3261,3244,3440,3716,3700,3452,3300,3313,3358,3408,3431,3385,3330,3211,2993,2777,2598,2504,2520,2700,2997,3087,3025,3117,3245,3304,3356,3382,3447,3549,3601,3583,3507
"Alaska","State","Alaska","All Homes",3500,3486,3467,3401,3302,3190,3094,3128,3280,3404,3501,3610,3660,3713,3830,3950,4051,4220,4465,4513,4380,4366,4391,4320,4251,4191,4055,3916,3893,3914,3894,3920,3983,3987,3967,3953,3974,4041,4087,4104,4144,4206,4235,4203,4114,3979,3819,3678,3560,3445,3370,3368,3372,3335,3282,3241,3250,3291,3334,3376,3368,3343,3404,3457,3390,3282,3224,3230,3259,3259,3261,3299,3381,3469,3514,3557,3604,3596,3538,3509,3508,3486
"North Dakota","State","North Dakota","All Homes",1557,1609,1597,1537,1489,1472,1477,1457,1420,1387,1396,1470,1529,1553,1600,1657,1676,1686,1703,1711,1711,1719,1757,1774,1725,1646,1536,1406,1354,1363,1367,1387,1420,1436,1424,1402,1387,1372,1353,1302,1238,1195,1152,1172,1249,1296,1304,1325,1355,1360,1365,1397,1430,1421,1409,1443,1518,1590,1592,1554,1543,1559,1637,1760,1810,1809,1846,1907,1964,1983,1976,2000,2065,2184,2325,2486,2690,2887,3025,3019,2901,2831
"Vermont","State","Vermont","All Homes",4918,5047,5213,5245,5113,4917,4737,4647,4663,4747,4918,5124,5377,5594,5643,5650,5719,6012,6527,6849,6860,6946,7270,7620,7809,7851,7790,7713,7679,7544,7347,7335,7514,7628,7623,7633,7733,7834,7829,7814,7865,7843,7713,7646,7678,7690,7618,7552,7397,7161,7207,7505,7779,7932,8044,8146,8183,8153,8046,7963,7998,8126,8280,8303,8231,8287,8398,8380,8289,8210,8117,7917,7686,7548,7441,7362,7346,7346,7258,7103,6979,6889
"District of Columbia","State","District of Columbia","All Homes",2143,2146,2206,2241,2194,2160,2087,1974,2044,2220,2308,2319,2289,2305,2346,2335,2362,2438,2477,2452,2359,2259,2207,2149,2088,2059,1975,1831,1723,1649,1602,1550,1405,1242,1157,1129,1133,1117,1078,1087,1079,1000,971,1011,1041,1065,1106,1142,1140,1100,1066,1069,1101,1145,1174,1191,1209,1197,1145,1114,1119,1110,1117,1162,1186,1182,1191,1225,1271,1307,1297,1259,1238,1227,1225,1230,1232,1229,1207,1198,1205,1175
"Wyoming","State","Wyoming","All Homes",2682,2665,2662,2691,2660,2607,2618,2677,2790,2921,3025,3138,3279,3570,3974,4179,4254,4490,4893,5171,5193,5169,5140,5033,4936,4853,4672,4486,4451,4436,4373,4399,4447,4446,4498,4533,4486,4410,4313,4221,4168,4126,4065,4031,4013,3947,3872,3859,3845,3747,3684,3756,3819,3778,3543,3198,3086,3149,3225,3311,3353,3348,3347,3422,3514,3531,3589,3709,3775,3796,3774,3726,3766,3918,4091,4199,4259,4328,4421,4514,4562,4583
