"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-11-30,27,"Maryland",19,266900,0.00641025641025641,0.0198700802445548,0.045436741088915,0.0344689898696731,-0.0187754150688566,"2007-04","2007-Q2",323100,-0.173939956669762,"2005-04"
2016-11-30,60,"Wisconsin",20,159700,0.00377121307353866,0.0152574698029243,0.0534300791556728,0.0234840145400954,0.00177040486766855,"2016-11","2016-Q4",159700,0,"2016-11"
2016-11-30,31,"Minnesota",21,199800,0.00553598389531958,0.0199081163859112,0.0776699029126214,0.060145153156389,-0.00449162093794975,"2006-05","2006-Q2",210800,-0.0521821631878558,"2005-02"
2016-11-30,10,"Colorado",22,318400,0.00695762175838077,0.0261037705446342,0.103257103257103,0.0901455966916602,0.0345515932934755,"2016-11","2016-Q4",318400,0,"2016-11"
2016-11-30,4,"Alabama",23,123000,0.00162866449511401,0.00490196078431373,0.0199004975124378,0.00936305125783754,-0.00280186271479077,"2009-05","2009-Q2",134000,-0.082089552238806,"2006-02"
2016-11-30,51,"South Carolina",24,140900,0.00427655024946543,0.0224963715529753,0.10423197492163,0.0292247766505893,0.002518570194328,"2016-11","2016-Q4",140900,0,"2016-11"
2016-11-30,24,"Kentucky",25,131900,0.00456968773800457,0.0185328185328185,0.0602893890675241,0.0251414031246449,0.0126666509849094,"2016-11","2016-Q4",131900,0,"2016-11"
2016-11-30,46,"Oregon",26,295000,0.00751366120218579,0.0282328337399791,0.12810707456979,0.0885614277415596,0.0122819998877632,"2016-11","2016-Q4",295000,0,"2016-11"
2016-11-30,45,"Oklahoma",27,113700,0.00530503978779841,0.0142729705619982,0.0440771349862259,0.0387870388598646,0.0298825636936608,"2016-11","2016-Q4",113700,0,"2016-11"
2016-11-30,11,"Connecticut",28,242800,0.00206355757325629,0.00872455338595762,0.0184563758389262,0.00586796365966724,-0.0185509454223816,"2006-06","2006-Q2",293400,-0.172460804362645,"2004-04"
2016-11-30,19,"Iowa",29,125800,0.00239043824701195,0.00720576461168935,0.0294599018003273,0.0268329808267747,,"2016-11","2016-Q4",125800,0,"2016-11"
2016-11-30,34,"Mississippi",30,111800,0.0017921146953405,0.00720720720720721,0.0238095238095238,0.00398274738400195,0.0199054493760771,"2009-07","2009-Q3",127100,-0.120377655389457,"2008-12"
2016-11-30,6,"Arkansas",31,115600,0.00609225413402959,0.0167106420404573,0.0377019748653501,0.0249469505537965,0.0126942987630154,"2016-11","2016-Q4",115600,0,"2016-11"
2016-11-30,23,"Kansas",32,122300,0.00493015612161052,0.0115798180314309,0.0417376490630324,0.0186624980084413,,"2016-11","2016-Q4",122300,0,"2016-11"
2016-11-30,55,"Utah",33,239200,0.00419815281276238,0.0213492741246798,0.0877671668940428,0.0606465780004419,0.00578168684231128,"2008-01","2008-Q1",259700,-0.0789372352714671,"2007-03"
2016-11-30,42,"Nevada",34,227400,0.00441696113074205,0.015631978561858,0.0864787386526517,0.130961225251343,-0.028294226416001,"2006-04","2006-Q2",310700,-0.268104280656582,"2004-06"
2016-11-30,41,"New Mexico",35,169400,0.00893388921977368,0.0235649546827795,0.0443896424167694,0.0118629587081829,-0.00914489735227364,"2009-05","2009-Q2",196300,-0.137035150280183,"2005-03"
2016-11-30,61,"West Virginia",36,100600,0.00399201596806387,0.0182186234817814,0.041407867494824,0.0202610747983387,,"2016-11","2016-Q4",100600,0,"2016-11"
2016-11-30,38,"Nebraska",37,145700,0.00830449826989619,0.0267794221282593,0.0611798980335033,0.0399214750093639,0.0160120115401556,"2016-11","2016-Q4",145700,0,"2016-11"
2016-11-30,20,"Idaho",38,180900,0.00332778702163062,0.0180078784468205,0.0825852782764812,0.0539555311763689,-0.00552225679370477,"2007-11","2007-Q4",196700,-0.0803253685815963,"2006-06"
2016-11-30,18,"Hawaii",39,584400,0.00689179875947622,0.0195394277739009,0.0619662002544067,0.0667273652389935,0.00696745858467707,"2016-11","2016-Q4",584400,0,"2016-11"
2016-11-30,28,"Maine",40,175200,0.00286204922724671,0.0115473441108545,-0.0173864273696018,-0.00550162505922303,-0.020217295999007,"2006-06","2006-Q2",222000,-0.210810810810811,"2003-06"
2016-11-30,39,"New Hampshire",41,236900,0.00637213254035684,0.020680741059888,0.0552338530066815,0.0347546796694118,-0.00560621930031135,"2006-04","2006-Q2",255500,-0.0727984344422701,"2004-12"
2016-11-30,50,"Rhode Island",42,244900,0.00616269515201315,0.0234015879648976,0.0560586459680897,0.030833704435995,-0.01618279264419,"2006-06","2006-Q2",293300,-0.165018752130924,"2004-02"
2016-11-30,35,"Montana",43,194800,0.00412371134020619,0.0172323759791123,0.0552546045503792,0.0268854140242656,0.0186087295710484,"2009-08","2009-Q3",213500,-0.0875878220140515,"2009-01"
2016-11-30,13,"Delaware",44,213500,0.00093764650726676,0.00376116596144805,0.0259490629505046,0.026202359948269,-0.00819008680689992,"2007-04","2007-Q2",234000,-0.0876068376068376,"2005-08"
2016-11-30,52,"South Dakota",45,169700,-0.00117716303708064,-0.00469208211143695,0.036019536019536,0.0452702425558915,0.0221593336059067,"2016-08","2016-Q3",170500,-0.00469208211143695,"2016-07"
2016-11-30,3,"Alaska",46,265700,0.00150772710139465,0.000376506024096386,0.0183978535837486,0.0205541722484308,0.000755861460059792,"2008-06","2008-Q2",277700,-0.0432120993878286,"2007-01"
2016-11-30,37,"North Dakota",47,204300,0.00196174595389897,0.00343811394891945,0.00689995071463775,0.0440347485183938,0.0492681773803483,"2016-11","2016-Q4",204300,0,"2016-11"
2016-11-30,12,"District of Columbia",48,530600,0.00644916540212443,0.0223506743737958,0.0486166007905138,0.0802498648919783,0.0298999355626335,"2016-11","2016-Q4",530600,0,"2016-11"
2016-11-30,62,"Wyoming",49,194200,0.00154718927282104,0.00569653029518384,0.0167539267015707,0.00249017402735241,0.0111601492841951,"2009-06","2009-Q2",212000,-0.0839622641509434,"2008-09"
